player_id,total_distance_px,total_distance_m,frames_tracked,first_frame,last_frame,missing_frame_gaps
1,1420.4014,37.4986,342,0,506,18
2,1340.323,35.3845,465,0,465,1
3,1313.679,34.6811,412,0,506,8
4,1037.0172,27.3773,507,0,506,0
5,1626.9065,42.9503,468,10,506,12
6,1669.6665,44.0792,469,22,506,7
7,1892.4919,49.9618,412,24,506,6
8,1608.5181,42.4649,346,101,506,1
9,681.4311,17.9898,336,104,459,3
10,2111.9288,55.7549,204,109,471,6
