epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.016,1.03409,0.85258,1.29809,0.86864,0.80661,0.86416,0.61093,1.05977,0.77877,1.35302,0.000328125,0.000328125,0.000328125
2,116.261,1.1014,0.92942,1.33071,0.83667,0.81353,0.84609,0.57979,1.12458,1.03372,1.42619,0.000648361,0.000648361,0.000648361
3,175.202,1.11285,0.94496,1.34388,0.88549,0.82061,0.85651,0.58274,1.0982,0.84102,1.42189,0.000955398,0.000955398,0.000955398
4,233.13,1.17257,0.9882,1.37719,0.90994,0.73656,0.84044,0.5787,1.0993,0.87679,1.40286,0.0009406,0.0009406,0.0009406
5,290.828,1.12776,0.97484,1.3664,0.84449,0.85907,0.87763,0.64198,1.03996,0.77594,1.35287,0.0009208,0.0009208,0.0009208
6,356.125,1.09389,0.88901,1.32868,0.84108,0.8086,0.85068,0.60822,1.04413,0.82016,1.37025,0.000901,0.000901,0.000901
7,415.576,1.07625,0.85152,1.3071,0.85691,0.8244,0.86982,0.6248,1.03478,0.73294,1.32441,0.0008812,0.0008812,0.0008812
8,493.822,1.05343,0.79005,1.26156,0.9201,0.82562,0.88898,0.64755,1.03131,0.76817,1.32748,0.0008614,0.0008614,0.0008614
9,554.135,1.08473,0.84146,1.31417,0.87661,0.85123,0.88287,0.64943,0.95894,0.70232,1.2821,0.0008416,0.0008416,0.0008416
10,619.04,1.05479,0.81244,1.30065,0.92072,0.8215,0.8787,0.62609,0.98992,0.713,1.29353,0.0008218,0.0008218,0.0008218
11,706.819,1.00832,0.76445,1.25382,0.94332,0.83876,0.90915,0.67395,0.9444,0.70072,1.25931,0.000802,0.000802,0.000802
12,772.125,0.98602,0.74383,1.24806,0.92069,0.84865,0.89169,0.6654,0.94973,0.71172,1.29765,0.0007822,0.0007822,0.0007822
13,831.534,1.00814,0.79634,1.2706,0.94428,0.84456,0.89665,0.66458,0.94399,0.65524,1.28216,0.0007624,0.0007624,0.0007624
14,891.197,0.98498,0.74748,1.25265,0.94566,0.8452,0.9063,0.66819,0.93294,0.69175,1.261,0.0007426,0.0007426,0.0007426
15,952.261,0.97165,0.72776,1.2315,0.9397,0.82906,0.9057,0.67266,0.93592,0.66945,1.25071,0.0007228,0.0007228,0.0007228
16,1012.01,0.9697,0.73905,1.22848,0.91826,0.8292,0.90879,0.6701,0.93113,0.64791,1.26297,0.000703,0.000703,0.000703
17,1073.62,0.94047,0.69532,1.20526,0.9302,0.8484,0.91251,0.67943,0.89342,0.58978,1.23614,0.0006832,0.0006832,0.0006832
18,1133.99,0.94476,0.7152,1.21559,0.9411,0.84679,0.89561,0.66918,0.90482,0.62277,1.23155,0.0006634,0.0006634,0.0006634
19,1194.71,0.9497,0.72569,1.22366,0.93906,0.83296,0.91847,0.68984,0.88538,0.61465,1.23717,0.0006436,0.0006436,0.0006436
20,1258.34,0.91449,0.68031,1.21471,0.91205,0.86341,0.89733,0.6803,0.88219,0.60304,1.22211,0.0006238,0.0006238,0.0006238
21,1342.96,0.93735,0.67876,1.20984,0.91803,0.83896,0.8954,0.68416,0.91772,0.60079,1.23321,0.000604,0.000604,0.000604
22,1399.75,0.88308,0.64328,1.15787,0.96363,0.83472,0.89872,0.68914,0.86842,0.59652,1.20478,0.0005842,0.0005842,0.0005842
23,1488.3,0.90642,0.67107,1.18668,0.91613,0.88937,0.92143,0.70974,0.86212,0.56519,1.19727,0.0005644,0.0005644,0.0005644
24,1557.96,0.89565,0.65569,1.17652,0.90952,0.84471,0.89876,0.68556,0.85883,0.57027,1.20056,0.0005446,0.0005446,0.0005446
25,1619.17,0.888,0.63966,1.17589,0.9062,0.87171,0.9139,0.69242,0.8656,0.59533,1.20663,0.0005248,0.0005248,0.0005248
26,1681.63,0.85132,0.60969,1.14537,0.938,0.86251,0.91146,0.69704,0.87267,0.58185,1.19906,0.000505,0.000505,0.000505
27,1743.86,0.84795,0.60856,1.14529,0.92394,0.87661,0.9113,0.69262,0.86984,0.58362,1.23388,0.0004852,0.0004852,0.0004852
28,1807.63,0.84732,0.59825,1.15634,0.94942,0.87761,0.92478,0.70382,0.86416,0.54975,1.22289,0.0004654,0.0004654,0.0004654
29,1871.15,0.8551,0.62678,1.16585,0.9197,0.8956,0.93278,0.70213,0.84349,0.53968,1.205,0.0004456,0.0004456,0.0004456
30,1932.25,0.85748,0.62761,1.16275,0.95108,0.87867,0.9392,0.71291,0.86043,0.53849,1.18967,0.0004258,0.0004258,0.0004258
31,1994.5,0.80651,0.59638,1.1247,0.94842,0.86446,0.92475,0.71424,0.84148,0.53904,1.19435,0.000406,0.000406,0.000406
32,2058.12,0.82297,0.60542,1.1514,0.92871,0.874,0.93528,0.71743,0.84164,0.53235,1.19768,0.0003862,0.0003862,0.0003862
33,2152.09,0.82654,0.57686,1.12906,0.94779,0.89805,0.94386,0.71368,0.8607,0.52744,1.2018,0.0003664,0.0003664,0.0003664
34,2240.47,0.80314,0.55955,1.12405,0.92733,0.89999,0.94333,0.70707,0.85701,0.5127,1.19438,0.0003466,0.0003466,0.0003466
35,2302.87,0.7992,0.54652,1.11195,0.93472,0.87725,0.93572,0.71477,0.82257,0.49528,1.16359,0.0003268,0.0003268,0.0003268
36,2400.79,0.77925,0.53795,1.10052,0.92396,0.89368,0.92037,0.70847,0.8055,0.49024,1.16417,0.000307,0.000307,0.000307
37,2490.34,0.77927,0.5333,1.104,0.94531,0.8872,0.93449,0.72306,0.82523,0.48019,1.1643,0.0002872,0.0002872,0.0002872
38,2551.46,0.76861,0.52577,1.09895,0.95695,0.85785,0.91791,0.71771,0.79024,0.47131,1.15317,0.0002674,0.0002674,0.0002674
39,2612.32,0.75238,0.51674,1.09467,0.93148,0.86979,0.92339,0.71829,0.78526,0.49001,1.14156,0.0002476,0.0002476,0.0002476
40,2674.17,0.77094,0.54013,1.09953,0.95959,0.8712,0.92502,0.73427,0.78779,0.48048,1.14512,0.0002278,0.0002278,0.0002278
41,2737.98,0.70859,0.47215,1.06863,0.96106,0.86967,0.92219,0.72005,0.80208,0.48256,1.16409,0.000208,0.000208,0.000208
42,2815.16,0.70607,0.45287,1.06346,0.96665,0.85045,0.92046,0.72581,0.78446,0.47676,1.15495,0.0001882,0.0001882,0.0001882
43,2876.29,0.67092,0.42964,1.04528,0.94612,0.85346,0.91723,0.72418,0.76882,0.47995,1.15044,0.0001684,0.0001684,0.0001684
44,2938.02,0.68908,0.42844,1.06236,0.94858,0.87241,0.91623,0.71244,0.80638,0.47417,1.17659,0.0001486,0.0001486,0.0001486
45,2999.43,0.67737,0.42701,1.05367,0.93607,0.87724,0.93178,0.72334,0.80771,0.46748,1.17372,0.0001288,0.0001288,0.0001288
46,3060.96,0.67258,0.42588,1.05034,0.94935,0.87245,0.93555,0.72978,0.78213,0.45359,1.15659,0.000109,0.000109,0.000109
47,3148.24,0.66166,0.41218,1.04193,0.96467,0.8753,0.93388,0.73464,0.77781,0.45891,1.14257,8.92e-05,8.92e-05,8.92e-05
48,3210.9,0.63376,0.39451,1.02317,0.95991,0.89229,0.94177,0.73728,0.76812,0.45173,1.13642,6.94e-05,6.94e-05,6.94e-05
49,3301.03,0.64199,0.39662,1.04007,0.9574,0.8891,0.93964,0.74505,0.76538,0.4441,1.1377,4.96e-05,4.96e-05,4.96e-05
50,3362.76,0.62211,0.37987,1.0087,0.96225,0.8778,0.93937,0.73783,0.76258,0.44159,1.1373,2.98e-05,2.98e-05,2.98e-05
