player_id,total_distance_px,total_distance_m,frames_tracked,first_frame,last_frame,missing_frame_gaps
1,1174.1133,30.9966,342,0,506,18
2,1340.323,35.3845,465,0,465,1
3,1107.8006,29.2459,412,0,506,8
4,1037.0172,27.3773,507,0,506,0
5,1626.9065,42.9503,468,10,506,12
6,1669.6665,44.0792,469,22,506,7
7,1225.1202,32.3432,412,24,506,6
8,908.3338,23.98,346,101,506,1
9,661.035,17.4513,336,104,459,3
10,908.7143,23.9901,204,109,471,6
