player_id,avg_speed_px_s,max_speed_px_s,avg_speed_m_s,max_speed_m_s
1,184.5047,690.6519,4.8709,18.2332
10,165.0253,666.1081,4.3567,17.5853
2,146.1432,725.6032,3.8582,19.1559
3,156.0767,1072.0541,4.1204,28.3022
4,120.67,784.8369,3.1857,20.7197
5,270.5838,859.0693,7.1434,22.6794
6,100.3279,684.7627,2.6487,18.0777
7,149.2425,510.8816,3.94,13.4873
8,157.2427,540.2083,4.1512,14.2615
9,126.808,1284.0561,3.3477,33.8991
