epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,75.0721,1.38845,1.79158,0.83262,0.73352,0.09987,0.07338,0.05176,0.53203,1.22168,0.23968,0.000328125,0.000328125,0.000328125
2,151.115,0.76199,0.79938,0.33479,0.56035,0.36675,0.31359,0.20362,0.46821,0.8705,0.20594,0.000652727,0.000652727,0.000652727
3,226.746,0.6172,0.72916,0.24823,0.79147,0.51952,0.58615,0.4065,0.47982,0.68055,0.25604,0.000968529,0.000968529,0.000968529
