player_id,avg_speed_px_s,max_speed_px_s,avg_speed_m_s,max_speed_m_s
1,286.9416,1005.7833,7.5753,26.5527
2,448.5399,12157.9604,11.8415,320.9702
3,829.9499,9552.4918,21.9107,252.1858
4,292.5628,5421.0423,7.7237,143.1155
5,452.9609,840.5355,11.9582,22.1901
6,316.2712,757.1658,8.3496,19.9892
7,402.5819,7156.1163,10.6282,188.9215
8,205.0033,547.4486,5.4121,14.4526
9,284.6861,2310.1948,7.5157,60.9891
