player_id,total_distance_px,total_distance_m,frames_tracked,first_frame,last_frame,missing_frame_gaps
1,219.9886,5.8077,24,0,23,0
2,1369.5894,36.1572,88,0,116,1
3,1142.4375,30.1603,40,0,116,1
4,1131.2427,29.8648,117,0,116,0
5,588.8491,15.5456,40,0,39,0
6,755.6327,19.9487,67,0,116,1
7,1693.8187,44.7168,101,0,116,1
8,792.6795,20.9267,117,0,116,0
9,1100.7864,29.0608,117,0,116,0
